time_s,pos_fr3_joint1,pos_fr3_joint2,pos_fr3_joint3,pos_fr3_joint4,pos_fr3_joint5,pos_fr3_joint6,pos_fr3_joint7,pos_thumb_joint_0,pos_thumb_joint_1,pos_index_joint_0,pos_middle_joint_0,pos_ring_joint_0,pos_little_joint_0,vel_fr3_joint1,vel_fr3_joint2,vel_fr3_joint3,vel_fr3_joint4,vel_fr3_joint5,vel_fr3_joint6,vel_fr3_joint7,vel_thumb_joint_0,vel_thumb_joint_1,vel_index_joint_0,vel_middle_joint_0,vel_ring_joint_0,vel_little_joint_0,cmd_fr3_joint1,cmd_fr3_joint2,cmd_fr3_joint3,cmd_fr3_joint4,cmd_fr3_joint5,cmd_fr3_joint6,cmd_fr3_joint7,cmd_thumb_joint_0,cmd_thumb_joint_1,cmd_index_joint_0,cmd_middle_joint_0,cmd_ring_joint_0,cmd_little_joint_0
1.4,-0.504732192,0.388268679,0.0904801041,-2.28732872,1.79179251,2.01058745,-1.73129749,1.08172321,0.0262651555,1.14692339e-05,1.33287704,1.33202279,1.33201754,-0.0853301585,-0.214002967,0.174640477,-0.268167883,0.45790562,0.234024018,-0.41101104,0.0347726494,0.000207617239,0.00114095281,0.120703004,-0.000166707789,-0.000115152172,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.21554637,0.14842166,0,1.33299983,1.33299983,1.33299983
1.46666667,-0.510577023,0.375664979,0.10281758,-2.30534101,1.82394743,2.02723241,-1.76761782,1.07153666,0.0288852528,9.11839652e-06,1.33298481,1.33178079,1.33180308,-0.0786908194,-0.198211566,0.158279851,-0.290773124,0.508559644,0.175396293,-0.568599164,-0.0721958056,7.35871727e-05,0.000271981553,-1.08073291e-05,-3.91364301e-05,8.56586848e-06,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.09300566,0.118201971,0,1.33299983,1.33299983,1.33299983
1.53333333,-0.516712725,0.362890273,0.115654841,-2.32312727,1.85653973,2.04411817,-1.79961407,1.07648146,0.0269159302,2.31373433e-05,1.33224702,1.33051491,1.33023572,-0.0884020776,-0.207706541,0.176776201,-0.263908297,0.45910719,0.233193651,-0.44056657,-1.08404238e-05,0.000128638581,0.00120770303,-0.000129282824,-0.000129030697,-0.000124637387,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.17958653,0.117906213,0,1.33299983,1.33299983,1.33299983
1.6,-0.522805452,0.350520372,0.128284171,-2.34060597,1.89019454,2.05894804,-1.8358463,1.07682824,0.0273784045,1.00522711e-05,1.33116353,1.32954514,1.32934427,-0.0863916054,-0.191135556,0.17316325,-0.269271135,0.522473514,0.161543936,-0.551972747,-0.000146229941,0.000308104907,0.00669257436,-0.000816254993,0.00549348397,0.00496542081,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.19525445,0.134648979,0,1.33299983,1.33299983,1.33299983
1.66666667,-0.528238118,0.339213252,0.139464453,-2.35762048,1.92625821,2.07117772,-1.87497437,1.07601619,0.0278205387,1.39437971e-05,1.33052075,1.32897723,1.32876253,-0.0677650571,-0.179736987,0.126742721,-0.271140218,0.517006874,0.125430629,-0.570671439,-0.000241876973,6.50456059e-05,0.00869689882,-0.000973383896,-0.000508295256,-0.00140379625,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.1632725,0.148252487,0,1.33299983,1.33299983,1.33299983
1.73333333,-0.533670306,0.32942757,0.150997952,-2.37350631,1.96358943,2.08248496,-1.91409004,1.08413601,0.0259281285,1.46986158e-05,1.32981074,1.3282783,1.32805991,-0.0790654719,-0.152798533,0.161987796,-0.239834532,0.549639523,0.129489869,-0.562482238,0.0904120281,0.122989066,0.00250532222,-0.00022283486,-0.000102384394,-0.00031885755,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.24616504,0.141588703,0,1.33299983,1.33299983,1.33299983
1.8,-0.541583896,0.318743944,0.167639449,-2.38658309,1.99519932,2.10054064,-1.94113982,1.07988667,0.0279512163,1.12543321e-05,1.32781649,1.32628071,1.32615185,-0.138744265,-0.187849119,0.280616343,-0.190285534,0.450845987,0.277709633,-0.334727079,8.16306783e-06,-9.82755737e-05,0.000752284075,0.00219491799,-0.000299750827,-4.91215033e-05,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.14877796,0.153891012,0,1.33299983,1.33299983,1.33299983
1.86666667,-0.552640915,0.306326985,0.190263271,-2.39750123,2.02381039,2.12708235,-1.96127295,1.07631207,0.0306251999,7.2422531e-06,1.33109617,1.32501304,1.32493877,-0.176779091,-0.211478248,0.345806986,-0.172077507,0.428629994,0.374134928,-0.283020318,-0.0274544917,-0.0307987016,0.000898546306,0.234145463,0.00696989475,-0.000169726627,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.11677551,0.153317064,0,1.33299983,1.33299983,1.33299983
1.93333333,-0.564615369,0.29298076,0.213617504,-2.40955663,2.05544972,2.15283728,-1.98527098,1.08587766,0.0273511466,-5.76264074e-06,1.3330003,1.32499552,1.32493544,-0.179783657,-0.219493836,0.331377953,-0.208483353,0.495399624,0.301433474,-0.405008644,-0.04376987,-0.000454882858,0.000219153881,0.000120520875,0.000242468712,-2.30394071e-05,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.22278941,0.139284059,0,1.33299983,1.33299983,1.33299983
2,-0.577767789,0.279324025,0.238499284,-2.42148089,2.08931899,2.17876887,-2.0103507,1.07579589,0.0305099897,-5.28383271e-06,1.33300066,1.32471061,1.32471442,-0.211596057,-0.213998884,0.390746266,-0.185056806,0.498407006,0.360898465,-0.337204337,-2.80626846e-05,0.108764477,0.000433771696,-2.00790346e-05,4.72262327e-05,-9.28282971e-05,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.11468375,0.14556998,0,1.33299983,1.33299983,1.33299983
2.06666667,-0.591267765,0.266609401,0.263698131,-2.43373799,2.12721157,2.20183945,-2.04137969,1.07983983,0.0305753741,-4.01707439e-06,1.33300054,1.32470894,1.32473886,-0.205883414,-0.192730501,0.375708342,-0.19455263,0.586130977,0.277956903,-0.488756031,-1.87110709e-05,0.000228768389,-0.00128065841,0.000257617037,0.000273771933,0.000145427533,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.1884774,0.157125801,0,1.33299983,1.33299983,1.33299983
2.13333333,-0.605306387,0.254713356,0.289589971,-2.4444952,2.16502428,2.22477579,-2.07185173,1.06340325,0.0366942808,-2.19393314e-06,1.3330003,1.32400095,1.32405961,-0.221444488,-0.18670857,0.39789179,-0.161896139,0.564121544,0.308848947,-0.432551771,-0.173172429,-0.000297960243,0.000122576748,7.03415644e-05,0.000115366871,-8.25052266e-05,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.07101214,0.166514903,0,1.33299983,1.33299983,1.33299983
2.2,-0.620876253,0.242776394,0.317779571,-2.45142412,2.19929695,2.25486779,-2.09163094,1.07542872,0.0304918066,1.4904982e-05,1.33207798,1.32339406,1.32319713,-0.234281272,-0.188330233,0.410831153,-0.0734181553,0.488266051,0.468996197,-0.252612591,0.110172935,0.000664951687,0.00418856507,-0.00254730927,0.0684610382,-0.00719459448,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.20283508,0.174143538,0,1.33299983,1.33299983,1.33299983
2.26666667,-0.636144102,0.231827065,0.345295787,-2.4529736,2.23135376,2.28861284,-2.10910892,1.07989931,0.0308633558,0.0243182592,1.33121037,1.32939863,1.3272835,-0.239060611,-0.163799569,0.423905939,-0.0184562951,0.434514374,0.49268797,-0.25167641,-7.31559703e-06,-5.36447624e-06,0.43503812,2.50639278e-06,0.0744105056,0.0808823258,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.22381639,0.18034181,0.0751074702,1.33299983,1.33299983,1.33299983
2.33333333,-0.652064085,0.223468408,0.375395298,-2.45170951,2.26230001,2.32557034,-2.12711811,1.07671368,0.027061116,0.0458839498,1.33210182,1.33015656,1.33073652,-0.231596634,-0.103757419,0.452940941,0.0434931628,0.507126153,0.540281177,-0.288692474,0.0467328094,-3.90172354e-05,0.29881832,5.82689245e-06,2.05439501e-05,0.0653339699,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.1575247,0.126779437,0.0829006582,1.33299983,1.33299983,1.33299983
2.4,-0.666072607,0.218992054,0.404530674,-2.4480896,2.2992065,2.35917664,-2.15442634,1.06813967,0.0335802101,0.0819051042,1.33299851,1.33060658,1.3327862,-0.189997494,-0.0741076842,0.385279179,0.050587859,0.590114355,0.4284437,-0.443092555,-0.0842987373,-0.102267995,0.517022192,2.99422682e-05,5.10484533e-05,-1.00641046e-07,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.08387184,0.133226231,0.132897615,1.33299983,1.33299983,1.33299983
2.46666667,-0.678896666,0.214848593,0.430471659,-2.44539833,2.33427763,2.39121461,-2.18384218,1.03322542,0.0372980908,0.114244029,1.3330003,1.32964373,1.33156061,-0.162629053,-0.0435159728,0.348924309,0.0472828187,0.630189955,0.397667617,-0.462682277,-0.287430733,0.112039678,0.28415066,-4.45943442e-07,0.100581624,0.0515247919,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,0.986020207,0.130960375,0.152153224,1.33299983,1.33299983,1.33299983
2.53333333,-0.686664522,0.214719146,0.450035214,-2.44289136,2.37951303,2.41206741,-2.22773814,0.988689244,0.0404132977,0.15334101,1.33299947,1.33299959,1.33300054,-0.0891241729,-0.00749420607,0.233498648,0.0243758634,0.763619065,0.126947567,-0.680866718,-0.512436867,-0.143034995,0.447661638,0.000155747373,8.75295955e-05,-2.90892785e-07,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,0.906515658,0.145255491,0.206815466,1.33299983,1.33299983,1.33299983
2.6,-0.691663384,0.213862821,0.462511718,-2.44349194,2.42509651,2.4203155,-2.27631164,0.934596479,0.044512786,0.177796036,1.33167589,1.33170903,1.33178532,-0.0542932637,-0.0152804665,0.141039997,-0.0257566702,0.707718253,0.0470923819,-0.698234141,-0.644829214,-6.58631325e-06,0.359721839,0.0520794615,0.053358689,0.0539594777,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,0.84191823,0.156870276,0.216987669,1.33299983,1.33299983,1.33299983
2.66666667,-0.695040345,0.211960897,0.469899148,-2.44775891,2.46943545,2.4215703,-2.32502508,0.874573171,0.0492268912,0.21317783,1.33280683,1.33252215,1.33241749,-0.0641971007,-0.0666488782,0.0916860476,-0.102250956,0.647458017,-0.0611004792,-0.650760412,-0.744072735,-0.212076873,0.588791549,5.50529221e-05,0.000126964471,-1.6449485e-07,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,0.789432824,0.166307285,0.281772256,1.33299983,1.33299983,1.33299983
2.73333333,-0.699862361,0.207632631,0.476692647,-2.45508456,2.50892639,2.41902924,-2.36630154,0.850425243,0.0469827317,0.251440614,1.33223069,1.33203816,1.33202064,-0.113176011,-0.0930897743,0.148361117,-0.135009736,0.596082926,-0.0907646045,-0.581587911,-0.0403096229,-3.79723497e-06,0.531270444,0.0547556505,0.0576809645,0.0624940805,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,0.82481885,0.173974842,0.316270381,1.33299983,1.33299983,1.33299983
2.8,-0.706954241,0.202758834,0.486902475,-2.46446085,2.54849553,2.41429949,-2.40603566,0.843174756,0.0478357486,0.266912729,1.33170867,1.33270955,1.33279753,-0.110884249,-0.0836437568,0.147183031,-0.166161627,0.585294843,-0.13267602,-0.56305182,2.67288051e-05,0.164890572,0.265745848,-0.000138261879,-0.000270685588,2.66532879e-07,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,0.80615139,0.170424595,0.305251598,1.33299983,1.33299983,1.33299983
2.86666667,-0.713801205,0.198492751,0.497087151,-2.47538519,2.58910775,2.40657067,-2.44808602,0.826286256,0.0472388417,0.261843175,1.33104849,1.33203924,1.33212876,-0.120662093,-0.080301173,0.166787773,-0.195799634,0.601872981,-0.170045674,-0.607471228,-0.223509282,9.67690721e-06,0.0674531534,-7.51286279e-06,-1.21866469e-05,-3.92319635e-08,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,0.760372281,0.171949893,0.278534114,1.33299983,1.33299983,1.33299983
2.93333333,-0.717205346,0.196286485,0.502933204,-2.48687482,2.63197207,2.38967347,-2.48100042,0.823275328,0.0469254404,0.287147939,1.33135092,1.33225691,1.33228278,-0.0248944033,-0.00876648072,0.0620379001,-0.155733779,0.612364352,-0.278351635,-0.448968887,-0.0396937877,0.000478158705,0.449528337,-0.000249926932,-0.000392996939,-0.000135012437,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,0.809012592,0.178559482,0.378280938,1.33299983,1.33299983,1.33299983
3,-0.716817439,0.196080714,0.502921462,-2.49915695,2.66403198,2.36857963,-2.50514007,0.815711856,0.0456744358,0.281762838,1.33052409,1.33141959,1.33147681,0.00229248987,-0.000961066573,0.00506790821,-0.203170002,0.439576685,-0.39816609,-0.322331399,-0.0826524273,-2.47857533e-05,-0.104825161,2.67266296e-06,-8.31088983e-06,-2.91038305e-10,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,0.762696981,0.18277216,0.296646506,1.33299983,1.33299983,1.33299983
